,provider_id,npi_list,tin,tin_type
0,232693,[1831263110],522280045,ein
1,34212,[1912276007],680428315,ein
2,435439,"[1225363468, 1710545249]",952082686,ein
3,608945,"[1053426312, 1750689402, 1093857237, 1841209780, 1144450685, 1093724924, 1962726323, 1306085709, 1609171743, 1972808012, 1942342175, 1912202052, 1528170313]",742806835,ein
4,129599,[1457329963],770326275,ein
5,49500,"[1043242381, 1407076425]",943216754,ein
6,136773,[1295718849],770537439,ein
7,577517,[1053301804],000000000,ein
8,109952,[0],571111621,ein
9,149662,[1972923068],463892733,ein
10,61975,[1255512836],208265524,ein
11,373178,[1619217593],462012883,ein
12,355617,[1346724788],830609125,ein
13,367672,[1497795223],952650593,ein
14,798672,[1689608473],760800471,ein
15,389314,[1164544672],271224608,ein
16,747717,[1225041023],330154994,ein
17,114917,[1366012783],871001057,ein
18,623673,[1538592712],952959331,ein
19,14235,[1356480099],203678259,ein
20,206762,[1154467835],208211806,ein
21,586552,"[1043574213, 1659636132, 1689938375, 1740544337]",954803695,ein
22,730590,"[1922263797, 1750491247]",202546649,ein
23,634972,"[0, 1184778284, 1467826552, 1689037285, 1164615589, 1619301579]",270445909,ein
24,622607,[1194882035],330932656,ein
25,682838,[1154495638],000000000,ein
26,463725,[1487929808],800582908,ein
27,257460,[1376631341],953428585,ein
28,597245,"[1114143757, 1063540938]",953998577,ein
29,90162,[1841484649],020774297,ein
30,776937,[1033360656],000000000,ein
31,215737,[1366985087],814529641,ein
32,658006,"[1306442744, 1427672773]",844582670,ein
33,669628,"[1003930983, 1770754202, 1215295548, 1578508545, 1659543874, 1497899728, 1518947506, 1508252669, 1003394149, 1376009480]",611897007,ein
34,414136,"[1891749727, 1801988118]",300280648,ein
35,803644,[1609360031],830899984,ein
36,618508,[1588668503],542077130,ein
37,490220,[1164977344],465681373,ein
38,239952,[1932644259],814758727,ein
39,628292,"[0, 1770620569, 1689097487, 1558408369, 1669641734, 1518437698, 1699812420, 1033436878, 1669758736, 1982022869, 1518289461]",263221201,ein
40,779775,"[1003281676, 1952982696, 1427470228, 1750705752, 1295122992, 1902347552, 1295301232, 1821439381, 1932761269, 1851782296, 1457003345, 1235374505, 1821650714, 1578186375, 1427505536, 1619208725, 1801564406, 1881002954, 1508490483, 1841868692, 1184382020, 1336428341, 1023659166, 1194961433, 1861079501, 1104414838, 1457609604, 1770964710, 1578719472, 1922479484, 1760900062, 1972026854, 1912407123, 1649670563, 1619593720, 1285009126, 1063836377, 1235683475, 1659677722, 1003458936, 1356906010, 1801261862, 1851831325, 1932798410]",262732203,ein
41,728650,[1437388238],800441139,ein
42,28397,[1174715445],260674682,ein
43,337598,[1437373016],205030241,ein
44,246821,[1063748945],954855412,ein
45,453232,"[1902375975, 1194252759, 1881141745, 1275069726]",821464475,ein
46,156077,[0],330596438,ein
47,505993,"[1861582645, 1013906221, 1962554873, 1639523004, 1780742981, 1447604814, 1194171371, 1922180827, 1316088024, 1356779797, 1740279959, 1376625277, 1639219462, 1215344965, 1295181477, 1992881759, 1740413798, 1376619031, 1952634008, 1316021546, 1871826925, 1043338957, 1043358542]",940562680,ein
48,310021,"[1528143500, 1588745756]",391346480,ein
49,581313,"[1851628416, 1639424633]",270410050,ein
50,634693,"[1740504828, 1487109120, 1851758619, 1871959957, 1871159137, 1982946588, 1780978858, 1619464278, 1083925481, 1740539659, 1851759369, 1710241070, 1265822605]",208460477,ein
51,171110,"[1134139769, 1134276405, 1821155011]",770194119,ein
52,158450,"[1063878510, 1043537913, 1851645394]",237076166,ein
53,115805,[1083622120],205252882,ein
54,635683,[1306864756],841724092,ein
55,433473,[1417102039],943470682,ein
56,704950,"[1184916496, 1063913754, 1699277897, 1477074615]",954749616,ein
57,555663,"[1952357964, 1376729483, 1740242718, 1003862012, 1710416136, 1376583617, 1568834653]",330848300,ein
58,640749,"[1366628471, 1407261282, 1467718015, 1497819395, 1528025558, 1104211606, 1467878264, 1295963254, 1821032707, 1982084141, 1386601326, 1033583190, 1871794719, 1033407382, 1467497719, 1497706709, 1881864890, 1437116472, 1639136674, 1699732636, 1407940216, 1942613021, 1801263306, 1386081354, 1609888940, 1114984168, 1609800622, 1063655355, 1568818268, 1780112581, 1346697893, 1578918264, 1417299231, 1053614115, 1366731911, 1679990550, 1669867644, 1316909831, 1124354493, 1447703731, 1467676353, 1619934643]",954493263,ein
